datetime,open,high,low,close,volume
"01,08,23 13:19",28902.48,28902.49,28902.48,28902.49,4.68658
"01,08,23 13:04",28868.34,28882.9,28864,28882.89,37.51472
"01,08,23 12:49",28880.99,28884.32,28879.39,28879.39,19.58269
"01,08,23 12:34",28889.99,28890,28864,28879.98,44.65591
"01,08,23 12:19",28850.98,28852,28838,28851.1,30.28304
"01,08,23 12:04",28852,28874,28851.99,28874,16.1482
"01,08,23 11:49",28880.66,28883.29,28880.65,28883.1,46.3739
"01,08,23 11:34",28879.13,28879.13,28873.34,28873.34,15.15964
"01,08,23 11:19",28913.3,28913.31,28913.3,28913.3,1.85653
"01,08,23 11:04",28916.27,28916.27,28916.26,28916.27,5.47457
"01,08,23 10:49",28925.93,28925.93,28925.92,28925.93,3.82336
"01,08,23 10:34",28916.27,28916.27,28916.26,28916.26,5.30538
"01,08,23 10:19",28913.74,28913.75,28912.47,28912.47,9.81567
"01,08,23 10:04",28920.89,28920.89,28920.74,28920.74,8.24998
"01,08,23 09:49",28930.96,28930.97,28930.96,28930.96,5.863
"01,08,23 09:34",28934.01,28934.01,28933,28933.01,21.95929
"01,08,23 09:19",28959.36,28959.36,28959.35,28959.36,6.08587
"01,08,23 09:04",28962.73,28965.62,28962.72,28962.73,18.91759
"01,08,23 08:49",28953.92,28956,28953.91,28955.99,31.5146
"01,08,23 08:34",28944.19,28954,28942.17,28953.99,19.61171
"01,08,23 08:19",28925.78,28926.71,28925.77,28926.71,6.67654
"01,08,23 08:04",28942,28942,28937.5,28937.5,19.43073
"01,08,23 07:49",28933.45,28933.57,28924.4,28924.41,33.28436
"01,08,23 07:34",28917.99,28918,28916.88,28917.7,21.50961
"01,08,23 07:19",28916.09,28916.1,28913.34,28913.35,12.34618
"01,08,23 07:04",28927.92,28928,28922.59,28922.6,56.03462
"01,08,23 06:49",28931.21,28931.93,28931.2,28931.93,5.63559
"01,08,23 06:34",28953.08,28960.57,28953.07,28960.56,12.30358
"01,08,23 06:19",28922.71,28922.72,28920.97,28920.98,4.36914
"01,08,23 06:04",28908,28918,28908,28918,14.57035
"01,08,23 05:49",28892.51,28892.51,28892.5,28892.5,4.10039
"01,08,23 05:34",28898.77,28905.73,28898.76,28905.72,14.71006
"01,08,23 05:19",28891.94,28902.39,28891.93,28902.39,11.16636
"01,08,23 05:04",28883.63,28883.64,28882.34,28882.35,9.16868
"01,08,23 04:49",28882.43,28882.44,28870,28870.01,65.78208
"01,08,23 04:34",28881.99,28886.55,28881.99,28886.55,3.23134
"01,08,23 04:19",28875.27,28876.7,28866,28876.7,14.01933
"01,08,23 04:04",28835.35,28850,28835.35,28848.48,52.13245
"01,08,23 03:49",28854,28864.84,28838.73,28864.83,102.32828
"01,08,23 03:34",28902.5,28902.51,28890.73,28893.11,24.49993
"01,08,23 03:19",28924.28,28924.29,28922.38,28922.38,15.32367
"01,08,23 03:04",28933.21,28944,28928,28928.01,41.61584
"01,08,23 02:49",28973.99,28979.92,28969.96,28969.96,30.35318
"01,08,23 02:34",28974.86,28974.87,28966.18,28969.77,12.83155
"01,08,23 02:19",28984.99,29012,28984.99,29011.11,75.04595
"01,08,23 02:04",29207.08,29218.74,29207.07,29216.39,12.51567
"01,08,23 01:49",29233.99,29234,29225.77,29225.77,14.96034
"01,08,23 01:34",29225.35,29231.26,29225.05,29230.68,24.08741
"01,08,23 01:19",29300.01,29300.01,29298,29300,4.13793
"01,08,23 01:04",29291.44,29334,29291.44,29332.09,108.31702
"01,08,23 00:49",29279,29279,29278.99,29279,2.91403
"01,08,23 00:34",29253.02,29253.02,29251.33,29251.34,8.73419
"01,08,23 00:19",29228,29232.92,29224.01,29232.92,25.67767
"01,08,23 00:04",29228.94,29228.95,29228.94,29228.94,4.44033
"31,07,23 23:49",29236.34,29238.57,29236.34,29238.57,6.78962
"31,07,23 23:34",29210.22,29215.16,29210.21,29215.15,7.81126
"31,07,23 23:19",29212.01,29212.01,29211.04,29211.05,2.59815
"31,07,23 23:04",29201.25,29201.26,29201.25,29201.26,4.17637
"31,07,23 22:49",29203.24,29203.25,29203.23,29203.25,9.39313
"31,07,23 22:34",29228.4,29228.4,29228,29228.01,0.94583
"31,07,23 22:19",29228,29235,29227.99,29234.99,8.64271
"31,07,23 22:04",29216.19,29216.2,29214.06,29214.07,8.84282
"31,07,23 21:49",29224.7,29224.71,29224.19,29224.2,5.35668
"31,07,23 21:34",29217.18,29259.4,29217.18,29252.01,41.61205
"31,07,23 21:19",29217.5,29229.32,29217.49,29229.29,23.14574
"31,07,23 21:04",29198.01,29198.01,29176.58,29191.99,39.73055
"31,07,23 20:49",29184.01,29186,29175,29175.01,15.81264
"31,07,23 20:34",29257.99,29257.99,29254.86,29254.87,7.61054
"31,07,23 20:19",29202,29224,29201.99,29222,31.44801
"31,07,23 20:04",29162.61,29162.61,29127.7,29132.01,56.58924
"31,07,23 19:49",29222.01,29222.01,29222,29222.01,5.57065
"31,07,23 19:34",29224.69,29237.54,29224.69,29237.54,9.8905
"31,07,23 19:19",29204.12,29207.99,29204.12,29207.98,7.47965
"31,07,23 19:04",29184.29,29184.29,29176,29176,33.47919
"31,07,23 18:49",29187.92,29205.74,29187.91,29205.74,13.07107
"31,07,23 18:34",29209.99,29210,29202,29209.99,36.16753
"31,07,23 18:19",29202.21,29202.21,29202.2,29202.2,3.17509
"31,07,23 18:04",29202.01,29202.01,29202,29202.01,4.49885
"31,07,23 17:49",29260.76,29274.99,29257.2,29266.84,42.89552
"31,07,23 17:34",29192.36,29192.37,29188.21,29188.21,4.7138
"31,07,23 17:19",29202.01,29204.73,29202,29204.73,9.47169
"31,07,23 17:04",29220,29220.01,29216,29216,5.84948
"31,07,23 16:49",29250.78,29250.79,29247.39,29247.39,10.4698
"31,07,23 16:34",29257.23,29265.27,29257.22,29265.26,17.94775
"31,07,23 16:19",29238.01,29240,29228,29238.01,34.34703
